OID_,latitude,longitude,location,speed_mph,name,timestamp
5981,43.03050485,-76.15874027,"617 Martin Luther King West, Syracuse, NY, 13205",3,SW 3,2/5/2022 13:22:42
5982,43.01581644,-76.15990038,"318 Valley Drive, Syracuse, NY, 13207",5,SW 1,2/5/2022 13:22:42
5983,43.0268499,-76.17489108,"2031 South Geddes Street, Syracuse, NY, 13207",3,SW 2,2/5/2022 13:22:46
5984,43.03059306,-76.15876067,"South Avenue, Syracuse, NY, 13207",1,SW 3,2/5/2022 13:22:47
5985,43.01584328,-76.15990389,"318 Valley Drive, Syracuse, NY, 13207",5,SW 1,2/5/2022 13:22:48
5986,43.03060492,-76.15876453,"South Avenue, Syracuse, NY, 13207",0,SW 3,2/5/2022 13:22:53
5987,43.06438232,-76.15610708,"944 North Salina Street, Syracuse, NY, 13208",6,SW 5,2/5/2022 13:22:53
5988,43.01579583,-76.15988226,"318 Valley Drive, Syracuse, NY, 13207",4,SW 1,2/5/2022 13:22:54
5989,43.01586922,-76.15992467,"318 Valley Drive, Syracuse, NY, 13207",0,SW 1,2/5/2022 13:22:59
5990,43.03054677,-76.15874252,"806 South Avenue, Syracuse, NY, 13207",1,SW 3,2/5/2022 13:22:59
5991,43.064167,-76.15588436,"944 North Salina Street, Syracuse, NY, 13208",6,SW 5,2/5/2022 13:23:02
5992,43.01581235,-76.15990602,"318 Valley Drive, Syracuse, NY, 13207",0,SW 1,2/5/2022 13:23:04
5993,43.03053791,-76.15873709,"806 South Avenue, Syracuse, NY, 13207",0,SW 3,2/5/2022 13:23:05
5994,43.02701745,-76.17491429,"2023 South Geddes Street, Syracuse, NY, 13207",0,SW 2,2/5/2022 13:23:06
5995,43.01587391,-76.15994635,"318 Valley Drive, Syracuse, NY, 13207",4,SW 1,2/5/2022 13:23:09
5996,43.02700021,-76.17493635,"2023 South Geddes Street, Syracuse, NY, 13207",1,SW 2,2/5/2022 13:23:11
5997,43.0639329,-76.15564487,"940 North Salina Street, Syracuse, NY, 13208",7,SW 5,2/5/2022 13:23:12
5998,43.01584531,-76.1599397,"318 Valley Drive, Syracuse, NY, 13207",2,SW 1,2/5/2022 13:23:15
5999,43.02690083,-76.17499584,"2027 South Geddes Street, Syracuse, NY, 13207",7,SW 2,2/5/2022 13:23:17
6000,43.03058342,-76.15875433,"South Avenue, Syracuse, NY, 13207",1,SW 3,2/5/2022 13:23:19
6001,43.01587318,-76.15995837,"318 Valley Drive, Syracuse, NY, 13207",4,SW 1,2/5/2022 13:23:20
6002,43.02675204,-76.17494001,"2035 South Geddes Street, Syracuse, NY, 13207",1,SW 2,2/5/2022 13:23:23
6003,43.06368766,-76.15545337,"920 North Salina Street, Syracuse, NY, 13208",6,SW 5,2/5/2022 13:23:24
6004,43.01586415,-76.15995658,"318 Valley Drive, Syracuse, NY, 13207",5,SW 1,2/5/2022 13:23:25
6005,43.03057203,-76.15875057,"South Avenue, Syracuse, NY, 13207",1,SW 3,2/5/2022 13:23:26
6006,43.01587235,-76.15996408,"312 Valley Drive, Syracuse, NY, 13207",2,SW 1,2/5/2022 13:23:32
6007,43.03059199,-76.15876932,"South Avenue, Syracuse, NY, 13207",3,SW 3,2/5/2022 13:23:32
6008,43.02668852,-76.17488951,"2035 South Geddes Street, Syracuse, NY, 13207",1,SW 2,2/5/2022 13:23:33
6009,43.06343192,-76.15528036,"912 North Salina Street, Syracuse, NY, 13208",5,SW 5,2/5/2022 13:23:35
6010,43.01596114,-76.16002004,"312 Valley Drive, Syracuse, NY, 13207",2,SW 1,2/5/2022 13:23:43
6011,43.0307212,-76.15878776,"South Avenue, Syracuse, NY, 13207",1,SW 3,2/5/2022 13:23:45
6012,43.01590771,-76.15998471,"312 Valley Drive, Syracuse, NY, 13207",0,SW 1,2/5/2022 13:23:48
6013,43.06318786,-76.15509126,"900 North Salina Street, Syracuse, NY, 13208",6,SW 5,2/5/2022 13:23:48
6014,43.03076188,-76.15879581,"Marginal Street, Syracuse, NY, 13207",3,SW 3,2/5/2022 13:23:50
